INVOICE_CLOSE_DATE,INVOICE_PLAN_ID,DISPENSE_TYPE,MEMBERS_SERVED,SAVINGS,COUNT(DISTINCT DISPENSE_ID)
2024-11-30 00:00:00.000,776,Alternate Payer,2,6851.9100000000,2
2024-01-31 00:00:00.000,1075,Copay,1,6615.0000000000,1
2022-09-30 00:00:00.000,451,Alt. Payer,1,185.5800000000,1
2023-02-28 00:00:00.000,171,PAP,1,22227.1200000000,1
2025-01-31 00:00:00.000,108,PAP,1,8086.5700000000,1
2024-08-31 00:00:00.000,1182,Copay,1,6604.2500000000,1
2022-10-31 00:00:00.000,270,Alt. Payer,1,2130.6500000000,1
2025-08-31 00:00:00.000,1182,Copay,1,6229.0600000000,1
2024-11-30 00:00:00.000,675,PAP,1,10612.6900000000,1
2025-06-30 00:00:00.000,1253,Strategic Sourcing,1,439.4900000000,1
2024-07-31 00:00:00.000,403,Biosimilar,1,1026.8400000000,1
2023-02-28 00:00:00.000,42,Copay,2,723.1400000000,2
2023-12-31 00:00:00.000,697,Copay,1,1535.0500000000,1
2025-06-30 00:00:00.000,680,PAP,1,5860.0300000000,1
2024-11-30 00:00:00.000,577,Alternate Payer,1,400.9000000000,1
2025-02-28 00:00:00.000,1148,PAP,1,9910.5700000000,1
2025-04-30 00:00:00.000,831,PM Dispense,1,,1
2025-12-31 00:00:00.000,291,Copay,1,3850.0000000000,1
2021-02-28 00:00:00.000,122,PAP,1,12783.8500000000,1
2022-12-31 00:00:00.000,320,PAP,1,1494.6900000000,1
2020-08-31 00:00:00.000,35,Copay,1,317.8000000000,1
2025-09-30 00:00:00.000,358,PAP,1,23371.7100000000,1
2025-10-31 00:00:00.000,1286,PAP,1,2857.2500000000,1
2025-06-30 00:00:00.000,6,PAP,1,3054.9200000000,1
2025-08-31 00:00:00.000,130,PAP,1,9409.1700000000,1
2025-12-31 00:00:00.000,567,Copay,1,976.2400000000,1
2022-04-30 00:00:00.000,79,PAP,1,8619.0000000000,1
2026-01-31 00:00:00.000,1339,Alternate Payer,1,3873.8700000000,1
2026-01-31 00:00:00.000,856,Alternate Payer,1,10422.2900000000,1
2023-07-31 00:00:00.000,904,PAP,1,10089.9400000000,1
